,English,Vietnamese,Tamil Translation,Spanish,Hindi,Malay,Arabic,Portuguese,Swahili,Russian,French,Filipino,Thai,INDONESIAN,Nepali,Bengali,Chinese (Simplified),Chinese (Traditional),Khmer
internet_conection_needed_map,An Internet connection is needed to download map. Switch on WIFI or Mobile Data.,Cần có kết nối Internet để tải bản đồ. Bật WIFI hoặc Dữ liệu di động.,வரைபடத்தைப் பதிவிறக்க இணைய இணைப்பு தேவை. WIFI அல்லது மொபைல் தரவை மாற்றவும்.,Se necesita una conexión a Internet para descargar el mapa. Encienda WIFI o datos móviles,सिंक करने के लिए डेटा या वाई फाई की ज़रूरत है. आगे बढे?,Sambungan Internet diperlukan untuk memuat turun peta. Hidupkan WIFI atau data mudah alih.,هناك حاجة إلى اتصال بالإنترنت لتحميل الخريطة. قم بتشغيل WIFI أو بيانات الجوال.,É necessária uma ligação à Internet para transferir o mapa. Ligue o WiFi ou os dados móveis.,Uunganisho wa intaneti unahitaji kupakua ramani. Badilisha kwenye WIFI au Data ya Mkono.,Для загрузки карты необходимо подключение к Интернету. Включите WIFI или мобильные данные.,Une connexion Internet est nécessaire pour télécharger la carte. Activez le WIFI ou les données mobiles,Kailangan ng koneksyon sa Internet para ma-download ang mapa. Kumonekta sa WIFI o Mobile Data.,การเชื่อมต่ออินเตอร์เน็ตจำเป็นสำหรับการดาวน์โหลดแผนที่ เปิดใช้งาน WIFI หรืออินเตอร์เน็ตมือถือ,Koneksi Internet dibutuhkan untuk mengunduh peta. Aktifkan WIFI atau Data Seluler.,नक्सा डाउनलोड गर्न एउटा इन्टरनेट कनेस्क्सन आवश्यक हुन्छ l वाइफाई अन गर्नुहोस् वा मोबाइल डाटा अन गर्नुहोस् l,ম্যাপ ডাউনলোড করার জন্য একটি ইন্টারনেট সংযোগ প্রয়োজন। ওয়াই-ফাই বা আপনার মোবাইল ডাটা চালু করুন। ,下载地图需要连接互联网。请打开 WIFI 或移动数据。,下載地圖需要連接互聯網。請開啟 WIFI 或移動數據。,ត្រូវការភ្ជាប់អ៊ីនធឺណិតដើម្បីទាញយកផែនទី។ បើកវ៉ាយហ្វាយឬទិន្នន័យចល័ត។
downloading_maps_prompt,Downloading Offline Map,Đang tải bản đồ ngoại tuyến,ஆஃப்லைன் வரைபடத்தைப் பதிவிறக்குகிறது,Descargar el mapa sin conexión,ऑफ़लाइन मानचित्र डाउनलोड करना,Memuat turun peta luar talian,تحميل خريطة حاليا,Transferir mapa offline,Inapakua Ramani ya Nje,Загрузка автономной карты<,Téléchargement de la carte hors ligne,Nagda-download ang Offline Map,ดาวน์โหลดแผนที่ออฟไลน์,Mengunduh Peta Offline,अफलाइन नक्सा डाउनलोड गर्दै,অফলাইন ম্যাপ ডাউনলোড করা হচ্ছে …,下载离线地图,下載離線地圖,ទាញយកផែនទីក្រៅបណ្តាញទុក
currently_downloading_maps_prompt,Currently downloading offline Map,Đang tải bản đồ ngoại tuyến,தற்போது ஆஃப்லைன் வரைபடத்தைப் பதிவிறக்குகிறது,Actualmente descargando Mapa fuera de línea,वर्तमान में ऑफ़लाइन मानचित्र डाउनलोड कर रहा है,Kini memuat turun peta luar talian,حاليا تحميل خريطة حاليا,A transferir o mapa offline,Ramani ya nje ya mtandao inapakuliwa sasa hivi,В настоящее время загрузка офлайн-карты,En cours de téléchargement de la carte hors ligne,Kasalukuyang nagda-download ang Offline Map,กำลังทำการดาวน์โหลดแผนที่ออฟไลน์,Sedang mengunduh Peta offline,अहिले अफलाइन नक्सा डाउनलोड गर्दै,এখন অফলাইন ম্যাপ ডাউনলোড করা হচ্ছে ,目前正在下载离线地图,目前正在下載離線地圖,បច្ចុប្បន្នកំពុងទាញយកផែនទីក្រៅបណ្តាញទុក
close,close,gần,மூடுக,cerrar,बंद,menutup,أغلق,fechar,funga,закрывать,fermer,Isara,ปิด,tutup,नजिक,বন্ধ করা,关闭,關閉,បិត
 <!--Grievances Page -->, <!--Grievances Page -->, <!--Grievances Page -->, <!--Grievances Page -->, <!--Grievances Page -->, <!--Grievances Page -->, <!--Grievances Page -->, <!--Grievances Page -->, <!--Grievances Page -->, <!--Grievances Page -->, <!--Grievances Page -->, <!--Grievances Page -->, <!--Grievances Page -->, <!--Grievances Page -->, <!--Grievances Page -->, <!--Grievances Page -->, <!--Grievances Page -->, <!--Grievances Page -->, <!--Grievances Page -->, <!--Grievances Page -->
add_grievance_title,Would you like to add a new report or file a grievance ?,Bạn có muốn thêm một báo cáo mới hoặc nộp đơn khiếu nại không?,புதிய அறிக்கையைச் சேர்க்க விரும்புகிறீர்களா அல்லது குறைகளைச் சமர்ப்பிக்க விரும்புகிறீர்களா?,¿Desea agregar un nuevo informe o presentar una queja?,क्या आप एक नई रिपोर्ट जोड़ना चाहेंगे या शिकायत दर्ज करना चाहेंगे?,Adakah anda ingin menambah laporan baru atau memfailkan aduan ?,هل ترغب في إضافة تقرير جديد أو شكوى؟,Gostaria de adicionar um novo evento ou fazer uma denúncia?,"Je, ungependa kuongeza ripoti mpya au malalamiko?",Вы хотите добавить новый отчет или подать жалобу?,Voulez-vous ajouter un nouveau rapport ou déposer un grief ?,Gusto mo bang magdagdag ng bagong ulat o maghain ng reklamo?,คุณต้องการเพิ่มรายงานใหม่หรือยื่นคำร้อง?,Apakah anda ingin menambah laporan atau arsip keluhan baru?,के तपाईं एउटा नयाँ रिपोर्ट थप्न चाहनुहुन्छ वा एउटा गुनासो दाखिला गर्न चाहनुहुन्छ ?,আপনি কি একটি নতুন রিপোর্ট যুক্ত করতে চান? অথবা কোন অভিযোগ দাখিল করতে চান? ,你要添加新报告还是提出申诉？,你要新增新報告還是提出申訴？,តើអ្នកចង់បន្ថែមរបាយការណ៍ថ្មី ឬរៀបចំបណ្តឹងសារទុក្ខ?
grievance,Grievance,Khiếu nại,குறை,Queja,शिकायत,Keluhan,شكوى,Denúncia,Malalamiko,обида,Grief,Reklamo,คำร้อง,Keluhan,गुनासो,অভিযোগ ,申诉,申訴,បណ្តឹងសារទុក្ខ
date_of_grievance,Date of Grievance,Ngày khiếu nại,குறை நடந்த தேதி,Fecha de reclamo %1$s,शिकायत की तारीख,Tarikh keluhan %1$s,تاريخ حدوث التظلم,Data de denúncia,Tarehe ya malalamiko,Дата подачи жалобы,Date du grie,Petsa ng reklamo,วันที่คำร้อง,Tanggal Keluhan,गुनासोको मिति,অভিযোগের তারিখ ,申诉日期,申訴日期,កាលបរិច្ឆេទនៃបណ្តឹងសារទុក្ខ
where_it_happened,Location where it happened,Địa điểm xảy ra,குறை நடந்த இடம்,Ubicación donde sucedió,स्थान जहां यह हुआ,Lokasi di mana ia berlaku,الموقع الذي حدث فيه التظلم,Local da ocorrência,Mahali ambapo ilitokea,"Место, где это произошло",Lieu où c\'est arrivé,Lokasyon kung saan ito nangyari,สถานที่เกิดเหตุ,Lokasi dimana itu terjadi,कहाँ घट्यो त्यसको ठेगाना,যেখানে এটি ঘটেছে তার লোকেশন ,发生位置,發生位置,ទីតាំងដែលវាកើតឡើង
grievance_date,Grievance Date %1$s,Ngày khiếu nại,குறை கொடுக்கப்பட்ட நாள்,Fecha de queja %1$s,शिकायत दिनांक% 1 $ s,Tarikh keluhan %1$s,تاريخ التظلم٪1$s,Data de denúncia %1$s,Tarehe ya Malalamiko  %1$s,Дата жалоб %1$s,Date du grie %1$s,Petsa ng reklamo %1$s,คำร้องวันที่ %1$s,Tanggal Keluhan %1$s,गुनासो मिति %1$s,অভিযোগের তারিখ %1$s ,申诉日期 %1$s,申訴日期 %1$s,កាលបរិច្ឆេទបណ្តឹង %1$s
select_sector_grievance,Select Type of Grievance,Chọn loại khiếu nại,குறையின் வகையை தேர்ந்தெடுங்கள்,Seleccionar tipo de reclamo,शिकायत का प्रकार चुनें,Pilih jenis keluhan,نوع التظلم,Seleccionar o tipo de denúncia,Chagua Aina ya Malalamiko,Выберите тип жалобы,Choisir le type de grief,Pumili ng uri ng reklamo,เลือกประเภทของคำร้อง,Pilih Tipe Keluhan,गुनासोको प्रकार रोज्नुहोस्,অভিযোগের ধরণ ,请选择申诉类别,請選擇申訴類別,ជ្រើសរើសប្រភេទនៃការតវ៉ា
report,Report,Báo cáo,அறிக்கை,Informe,रिपोर्ट,Laporan,أبلغ عن,Evento,Ripoti,отчет,Rapport,Ulat,รายงาน,Laporan,रिपोर्ट गर्नुहोस्,রিপোর্ট ,报告,報告,របាយការណ៍
select_urgency,Select Urgency,Chọn mức độ khẩn cấp,அவசரத்தைத் தேர்ந்தெடுக்கவும்,Seleccione Urgencia,आग्रह का चयन करें,Pilih segera,اختيار الاستعجال,Seleccionar a urgência,Chagua Uharaka,Выберите срочность,Sélectionnez urgence,Piliin ang pangangailangan ng agarang pagtugon,เลือกความเร่งด่วน,Pilih Urgensi,तत्कालिकता रोज्नुहोस्,আর্জেন্সি সিলেক্ট করুন ,选择紧急程度,選擇緊急程度,ជ្រើសរើសភាពបន្ទាន់
edit_grievance,Edit Grievance,Chỉnh sửa khiếu nại,குறை மாற்றம் செய்ய,Editar reclamo,शिकायत संपादित करें,Edit keluhan,تحرير التظلم,Editar denúncia,Badilisha malalamiko,Изменить жалобу,Modifier le grief,Baguhin ang reklamo,แก้ไขคำร้อง,Ubah Keluhan,गुनासो सम्पादन गर्नुहोस्,অভিযোগ সম্পাদনা করুন ,编辑申诉,編輯申訴,កែសម្រួលការតវ៉ា
add_grievance,Add Grievance,Thêm khiếu nại,குறைகளைச் சேர்க்கலாம்,Agregar reclamo,शिकायत जोड़ें,Tambah keluhan,أضف شكوى,Adicionar denúncia,Ongeza malalamiko,Добавить жалобу,Ajouter un grief,Magdagdag ng reklamo,เพิ่มคำร้อง,Tambah Keluhan,गुनासो राख्नुहोस्,অভিযোগ যুক্ত করুন ,添加申诉,新增申訴,បន្ថែមការតវ៉ា
sync_grievance,Sync Grievance to Server,Đồng bộ hóa khiếu nại với máy chủ,குறையை சேவையகத்திற்கு ஒத்திசைவு சேர்க்க,Sincronizar queja al servidor,सर्वर से सिंक की शिकायत,Menyegerakkan keluhan kepada pelayan,مزامنة التظلم إلى الخادم,Sincronizar denúncia com o servidor,Unganisha malalamiko kwa Seva,Синтаксическая жалоба на сервер,Synchroniser le grief avec le serveur,Pag-sync ang reklamo sa Server,ถ่ายโอนคำร้องไปยังเซิร์ฟเวอร์,Sinkronisasi Keluhan ke Server,सर्भरसँग गुनासो सिंक गर्नुहोस्,অভিযোগটিকে সার্ভারে সিনক্রোনাইজেশন করুন ,将申诉同步到服务器,將申訴同步到伺務器,ធ្វើសមកាលកម្មបណ្តឹងសារទុក្ខទៅស៊ើវើ
syncing_grievance_of,Syncing Grievance,Đang đồng bộ hóa khiếu nại với máy chủ,குறைகளை ஒத்திசைத்தல்,Sincronización de reclamo,शिकायत को समाप्‍त करना,Menyelaras keluhan,مزامنة التظلمات,Sincronizar denúncia,Unganisha malalamiko kwa Seva,Синхронизация жалобы,Synchronisation des griefs,Pag-sync ng reklamo,กำลังถ่ายโอนคำร้อง,Sinkronisasi Keluhan,गुनासो सिंक हुँदै,অভিযোগ সিনক্রোনাইজেশন করা হচ্ছে ,正在同步申诉,正在同步申訴,ធ្វើសមកាលកម្មបណ្តឹងសារទុក្ខ
grievance_status,What type of Grievance are you capturing?,Bạn đang chụp loại Khiếu Nại nào?,நீங்கள் எந்த வகை குறைகளை கையாளுகிறீர்கள்?,¿Qué tipo de queja o reclamo está presentando?,आप किस तरह की शिकायत दर्ज़ कर रहे हैं?,Apakah jenis Rungutan yang ingin dilaporkan?,ما نوع التظلم الذي تلتقطه؟,Que tipo de denúncia está a capturar?,Unachagua malalamishi ya aina gani?,Какой тип претензий вы фиксируете?,Quel type de grief capturez-vous?,Anong uri ng karaingan ang kinukuha mo?,คำร้องประเภทใดที่คุณกำลังบันทึก?,Tipe Keluhan apa yang anda dapatkan?,तपाईं कस्तो प्रकारको गुनासो कब्जा गर्दै हुनुहुन्छ ?,কোন ধরণের অভিযোগ আপনি দেখতে পাচ্ছেন? ,你的申诉类别属哪一项?,你的申訴類別屬哪一項?,តើប្រភេទនៃបណ្តឹងសារទុក្ខណាដែលអ្នកកំពុងថតទុក?
grievance_cannot_save,"Cannot save grievance without a valid grievance ID. Discard grievance
",Không thể lưu khiếu nại mà không có ID khiếu nại hợp lệ. Hủy bỏ khiếu nại,"சரியான குறைபாடு ஐடியின்றி, குறைகளைச் சேமிக்க முடியாது. குறைகளை விலக்கு",No se puede guardar el reclamo sin una ID de reclamo válido. Descartar el reclamo,बिना एक मान्य शिकायत आईडी के ग्रिएवांस / शिकायत सेव नहीं की जा सकती है। शिकायत को रद्द करें।,Tidak dapat menyimpan rungutan tanpa ID rungutan yang sah. Buang rungutan,لا يمكن حفظ التظلم بدون معرف التظلم صالح. تجاهل التظلم,Não é possível guardar uma denúncia sem um ID válido. Descartar denúncia,Haiwezi kuhifadhi malalamiko bila Kitambulisho halali. Kuondoa malalamiko?,Невозможно сохранить жалобу без действительного идентификатора жалобы. Отменить жалобу?,Cannot save grievance without a valid grievance ID. Discard grievance,Hindi makapag-save ng karaingan nang walang isang wastong ID ng karaingan. Itapon ang karaingan?,ไม่สามารถบันทึกคำร้องโดยปราศจากเลข ID คำร้องได้ ยกเลิกคำร้อง,Tidak bisa menyimpan keluhan tanpa ID keluhan yang valid. Buang keluhan,एउटा वैध गुनासो आइडी बिना गुनासो सेभ हुन सक्दैन l गुनासो पठाउन छोड्नुहोस्,বৈধ অভিযোগ আইডি না থাকার কারণে অভিযোগটি সেভ করা যায়নি। অভিযোগটি বাতিল করুন? ,申诉 ID 无效，无法保存申诉，请放弃申诉,申訴 ID 無效，無法保存申訴，請放棄申訴,មិនអាចរក្សាទុកបណ្តឹងសារទុក្ខបានទេបើគ្មានលេខសម្គាល់បណ្តឹងត្រឹមត្រូវ។ បោះបង់បណ្តឹងសារទុក្ខ
<!--Lessons Page -->,<!--Lessons Page -->,<!--Lessons Page -->,<!--Lessons Page -->,<!--Lessons Page -->,<!--Lessons Page -->,<!--Lessons Page -->,<!--Lessons Page -->,<!--Lessons Page -->,<!--Lessons Page -->,<!--Lessons Page -->,<!--Lessons Page -->,<!--Lessons Page -->,<!--Lessons Page -->,<!--Lessons Page -->,<!--Lessons Page -->,<!--Lessons Page -->,<!--Lessons Page -->,<!--Lessons Page -->,<!--Lessons Page -->
lessons_folder_error,Problem creating lessons folder,Sự cố khi tạo thư mục bài học,பாடங்கள் பக்கம் கோப்புறையை உருவாக்குவதில் சிக்கல்,Problema al crear la carpeta lecciones,गाइड फोल्डर बनाने में दिक्कत,Masalah mencipta folder tutorial,مشكلة في إنشاء مجلد الدروس,Problema ao criar a pasta das lições,Tatizo kuongeza masomo kwa simu,Проблема с созданием папки уроков,Probleme de creation dossier lecons,Nagkaproblema sa paglikha ng folder ng mga aralin,พบปัญหาในการสร้างแฟ้มวิดีโอสาธิตการใช้งาน,Folder bantuan pembuatan masalah,पाठहरुको फोल्डर बनाउँन समस्या,পাঠের ফোল্ডার তৈরি করতে সমস্যা দেখা দিচ্ছে ,创建课程活页夹时出现问题,創建課程文件夾時出現問題,មានបញ្ហាក្នុងការបង្កើតថតឯកសារមេរៀន
lessons_prompt,Lessons,Bài học,பாடங்கள்,Lecciones,गाइड,Tutorial,دروس,Lições,Mafunzo,Уроки,Cours,Mga Aralin,วิดีโอสาธิตการใช้งาน,Bantuan,पाठहरु,পাঠসমূহ ,课程,課程,មេរៀន
lessons_unzipping,Unzipping Lessons..,Giải nén bài học..,பாடங்கள் விரிவாக்க ..,Lecciones de descomprimir..,गाइड ज़िप फाइल से निकले जा रहें हैं,Membuka Zip Tutorial…,فك الدرس ..,A descomprimir lições…,Kufungua failifunge la Masomo..,Распаковка уроков,Lecons decompression de fichiers..,Ina-unzip ang Mga Aralin…,แตกไฟล์วิดีโอสาธิตการใช้งาน,Unzip Bantuan..,पाठहरु खोल्दै..,পাঠসমূহ আনজিপ করা হচ্ছে …,正在解压缩课程...,正在解壓縮課程...,ពន្លាមេរៀន ..
lessons_thumbnails,Generating thumbnails..,Đang tạo hình thu nhỏ ..,சிறு உருவங்களை உருவாக்குகிறது ..,Generando thumbnails..,थुम्ब्नेल बन रहें हैं,Menjana thumbnail…,توليد الصور المصغرة ..,A gerar miniaturas…,Kutengeneza picha za video,Создание эскизов,Generer des thumbnails..,Lumilikha ng mga thumbnail…,สร้างรูปประกอบ..,Membuat Thumbnail,थम्बनेलहरु बनाउँदै..,থাম্বনেইলসমূহ তৈরি করা হচ্ছে ... ,正在产生缩图…,正在產生縮圖…,កំពុងបង្កើតរូបភាពតំណាង
lessons_completed,Complete!,Hoàn thành!,முடிந்தது!,Completar!,पूर्ण!,Selesai!,منجز,Concluído!,Imekamilika!,Завершено,Finir!,Kumpleto na!,เสร็จสมบูรณ์!,Lengkap,पुरा भयो !,সম্পন্ন হয়েছে! ,完成！,完成！,បញ្ចប់!
<!--Reports Page -->,<!--Reports Page -->,<!--Reports Page -->,<!--Reports Page -->,<!--Reports Page -->,<!--Reports Page -->,<!--Reports Page -->,<!--Reports Page -->,<!--Reports Page -->,<!--Reports Page -->,<!--Reports Page -->,<!--Reports Page -->,<!--Reports Page -->,<!--Reports Page -->,<!--Reports Page -->,<!--Reports Page -->,<!--Reports Page -->,<!--Reports Page -->,<!--Reports Page -->,<!--Reports Page -->
title_projects,Media Files,Tệp phương tiện,மீடியா கோப்புகள்,Archivos de multimedia,मीडिया फ़ाइलें,Fail Media,ملفات الوسائط,Ficheiros de media,Faili za picha/sauti/video,Медиа файлы,Fichiers multimédias,MMga File ng Media,ไฟล์มีเดีย,File Media,मिडिया फाइलहरु,মিডিয়া ফাইলসমূহ,媒体文件,媒體文件,ឯកសារមេឌៀ
projects_not_uploaded,Not uploaded!,Chưa được tải lên,பதிவேற்றப்படவில்லை,Archivo no cargado,अपलोड नहीं हुआ,Tidak dimuat naik,لم يتم التحميل,Não carregado!,Hazijapakiwa,Не загружено,Pas téléchargé,Hindi nai-upload,ยังไม่อัปโหลด!,Belum di Upload,अपलोड गरिएन !,আপলোড করা হয়নি!,尚未上传！,尚未上載！,មិនបានផ្ទុកឡើង!
projects_uploaded,Uploaded!,Đã tải lên,பதிவேற்றம் முடிந்தது,¡Archivo cargado!,अपलोड की गई!,Dimuat naik!,تم تحميلها!,Carregado!,Zimepakiwa!,Загружено,Téléchargé!,Nai-upload na!,อัปโหลดแล้ว!,Sudah Di Upload,अपलोड भयो !,আপলোড করা হয়েছে!,已上传！,已上載！,បានផ្ទុកឡើង!
loading,Loading..,Đang tải..,லோடிங்…,Cargando..,लोड हो रहा है,Memuat…,تحميل,A carregar…,Inapakia…,Загружается…,Chargement..,Naglo-load…,กำลังโหลด..,Loading,लोड हुँदै..,লোড হচ্ছে …,正在上传！,正在上載！,កំពុងបើក..
captured_at,Captured at,Chụp tại,கைப்பற்றப்பட்ட இடம்,Capturado el,पर लिया क्लिप,Ditangkap di,تم التقاطها في _______,Capturado em,Zilinaswa,Снято в,"captured_at"">Saisi le",Kinuha sa,ถูกบันทึกที่,Diambil pada tanggal,यतिमा कब्जा गरियो,কোথায় ধারণ করা হয়েছে,录制于,錄製於,ថតនៅ
<!-- Audio Recorder -->,<!-- Audio Recorder -->,<!-- Audio Recorder -->,<!-- Audio Recorder -->,<!-- Audio Recorder -->,<!-- Audio Recorder -->,<!-- Audio Recorder -->,<!-- Audio Recorder -->,<!-- Audio Recorder -->,<!-- Audio Recorder -->,<!-- Audio Recorder -->,<!-- Audio Recorder -->,<!-- Audio Recorder -->,<!-- Audio Recorder -->,<!-- Audio Recorder -->,<!-- Audio Recorder -->,<!-- Audio Recorder -->,<!-- Audio Recorder -->,<!-- Audio Recorder -->,<!-- Audio Recorder -->
recording_stopped,Recording stopped,Đã dừng ghi âm,பதிவு நிறுத்தப்பட்டது,La grabación se detuvo,रिकॉर्डिंग की प्रक्रिया बंद,Rakaman berhenti,توقف التسجيل,A gravação parou,Kurekodi kumesimama,Запись остановлена,Enregistrement interrompu,Huminto ang pagrekord,หยุดการอัดเสียง,Stop rekaman,रेकर्डिङ रोकियो,রেকর্ডিং থেমে গিয়েছে ,录音已停止,錄音已停止,ការថតត្រូវបានឈប់
storage_is_full,Storage is full,Lưu trữ đầy,சேமிப்பிடம் நிரம்பியுள்ளது,El almacenamiento está lleno,स्टोरेज भर गया,Storan telah penuh,الذاكرة ممتلئه,Espaço de armazenamento cheio,Hifadhi imejaa,Память заполнено,Espace de stockage insuffisant,Puno na ang storage,พื้นที่จัดเก็บเต็ม,Memori Penuh,स्टोरेज भरियो,স্টোরেজটি পরিপূর্ণ ,储存空间已满,儲存空間已滿,អង្គផ្ទុកពេញ
max_length_reached,Maximum length reached,Đã đạt đến độ dài tối đa,அதிகபட்ச நீளம் அடைந்தது,Ha alcanzado la máxima duración,समय सीमा पार,Panjang maksimum dicapai,بلغ الحد الأقصى للطول,Atingiu a duração máxima,Upeo wa urefu umefikiwa,Достигнута максимальная длина,Durée maximale atteinte,Naabot na ang maximum na haba,ถึงกำหนดความยาวสูงสุด,Maksimum Durasi tercapai,अधिकतम समय पुग्यो,সর্বোচ্চ দৈর্ঘ্য অতিক্রম করেছে ,已逹到最长时间,已逹到最長時間,គ្រប់ប្រវែងអតិបរមា
insert_sd_card,SD card is required,Cần có thẻ SD,SD கார்டு தேவை,Se requiere de tarjeta SD,SD कार्ड ज़रुरी है,Kad SD diperlukan,مطلوب بطاقه SD,É necessário o cartão SD,SD card inahitajika,Необходимо подключить внешнюю карту памяти,Une carte SD est nécessaire,Kailangan ng SD Card,จำเป็นต้องใช้การ์ด SD,Memori Card Diperlukan,एसडी कार्ड आवश्यक हुन्छ,এসডি কার্ড আবশ্যক ,需要 SD 卡,需要 SD 卡,តម្រូវអោយមានSDកាត
button_ok,OK,OK,சரி,OK,ठीक,OK,OK,OK,SAWA,OK,OK,OK,ตกลง,OK,ठिक छ,ঠিক আছে ,确定,確定,យល់ព្រម
error_sdcard_access,Unable to access external or internal storage,Không thể truy cập bộ nhớ ngoài hoặc bộ nhớ trong,வெளிப்புற அல்லது உள்ளக சேமிப்பிடத்தை அணுக முடியவில்லை,No se puede acceder al almacenamiento externo o interno,फ़ोन मेमोरी या SD कार्ड से जुडाव नहीं हो रहा है,Tidak dapat mengakses storan luaran atau dalaman,غير قادر الى الوصول الى التخزين الخارجي او الداخلي,Incapaz de aceder ao armazenamento externo ou interno,Imeshindwa kufikia hifadhi ya ndani au nje,Не удается получить доступ к внешнему или внутреннему хранилищу,Impossible d'accéder au stockage externe ou interne,Hindi ma-access ang external o internal storage,ไม่สามารถเข้าถึงพื้นที่จัดเก็บภายนอกหรือภายในได้,Tidak dapat mengakses Storage,एक्स्टरनल वा इन्टरनल स्टोरेज पहुँच गर्न असक्षम,এক্সটার্নাল বা ইন্টার্নাল কোন স্টোরেজেই প্রবেশ করা যাচ্ছে না ,无法访问外部或内部存储,無法存取外部或內部存儲,មិនអាចចូលទៅកាន់អង្គផ្ទុកទិន្នន័យខាងក្រៅ ឬក្នុងម៉ាស៊ីន
error_app_internal,Internal application error,Lỗi ứng dụng,உள்ளக பயன்பாட்டு பிழை,Error interno de la aplicación,ऐप्प में दिक्कत,Ralat aplikasi dalaman,خطأ في التطبيق الداخلي,Erro interno da aplicação,Kosa la ndani la apu,Ошибка приложения,Erreur d'application interne,Error sa internal application,พบปัญหาภายในแอปพลิเคชัน,Kesalahan Aplikasi,आन्तरिक एप्लिकेसन त्रुटी,এপ্লিকেশনের অভ্যন্তরীণ ত্রুটি ,内部应用程序错误,內部應用程式錯誤,បញ្ហាកម្មវិធីខាងក្នុង
error_mediadb_new_record,Unable to save recorded audio,Không thể lưu âm thanh đã ghi,பதிவுசெய்யப்பட்ட ஆடியோ சேமிக்க முடியவில்லை,No se puede guardar el audio grabado.,रिकॉर्ड किया गया ऑडियो सेव नहीं हो पा रहा है,Tidak dapat menyimpan rakaman audio,غير قادر ع حفظ تسجيل الصوت,Incapaz de guardar o áudio gravado,Imeshindwa kuhifadhi sauti iliyorekodiwa,Невозможно сохранить аудиозапись,Impossible de sauvegarder l'audio enregistré,Hindi mai-save ang nairekord na audio,ไม่สามารถบันทึกเสียงได้,Tidak dapat menyimpan rekaman suara,रेकर्ड गरिएको अडियो सेभ गर्न असक्षम,রেকর্ডকৃত অডিওটি সেভ করা সম্ভব হচ্ছেনা ,无法保存录制的音频,無法保存錄製的音訊,មិនអាចរក្សាទុកនូវសម្លេងដែលបានថតរួច
delete_dialog_title,Delete your audio recording?,Xóa bản ghi âm của bạn?,உங்கள் ஆடியோ பதிவு நீக்கவா?,Suprimir su grabación?,अपनी ऑडियो रिकॉर्डिंग हटाएं?,Padam rakaman audio anda?,حذف التسجيل الصوتي الخاص بك؟,Apagar a gravação de áudio?,Futa sauti ulio recordi?,Удалить аудиозапись?,Supprimer votre enregistrement audio?,Burahin ang iyong audio recording?,ลบการบันทึกเสียง?,Hapus rekaman audio anda?,तपाईंको अडियो रेकर्डिङ मेट्ने ?,আপনার অডিও রেকর্ডটি মুছে ফেলুন? ,删除录音?,刪除錄音?,លុបចោលនូវសម្លេងថតរបស់អ្នក?
overwrite_dialog_title,%s has already existed. Do you want to overwrite it?,... đã tồn tại. Bạn có muốn thay thế bản ghi này?,.. ஏற்கனவே இருந்திருக்கிறது. இதை மேலெழுத வேண்டுமா?,% s ya ha existido. ¿Quieres sobreescribirlo?,% s पहले से मौजूद है। क्या आप इसे अधिलेखित करना चाहते हैं?,%s sudah wujud. Adakah anda mahu menggantinya?,٪s موجود بالفعل. هل تريد الكتابة عليه؟,%s já existe. Deseja substituir?,%s has already existed. Do you want to overwrite it?,%s уже имеется. Вы хотите переписать?,%s a déjà existé. Voulez-vous l'écraser?,%s ay dati nang umiiral. Gusto mo ba itong i-overwrite?,%s มีอยู่แล้ว คุณต้องการเขียนทับหรือไม่?,%s sudah tersedia. Apakah anda ingin melakukan overwrite?,%s पहिलेनै अवस्थित छ l के तपाईं त्यो ओभरराइट गर्न चाहनुहुन्छ ?,%s ইতোমধ্যে বিদ্যমান রয়েছে। আপনি কি এটাকে ওভাররাইট করতে চান? ,％s已经存在，要覆盖原有信息吗？,％s已經存在，要覆蓋原有信息嗎？,%s មានស្រាប់។ តើអ្នកចង់កត់ជួសវា?
notification_recording,Recording..,Đang ghi âm,பதிவு ..,Grabando..,रिकॉर्डिंग की प्रक्रिया जारी,Merakam…,تسجيل,A gravar…,Kurekodi…,Запись…,Enregistrement..,Nagrerekord…,กำลังอัดเสียง..,Rekaman,रेकर्ड गर्दै..,রেকর্ডিং হচ্ছে ...,正在录音,正在錄音,កំពុងថត..
notification_stopped,Recording is stopped,Đã dừng ghi âm,பதிவு நிறுத்தப்பட்டது,La grabación se detuvo,रिकॉर्डिंग की प्रक्रिया बंद,Rakaman dihentikan,يتم إيقاف التسجيل,Gravação parada,Kurekodi kumesimamishwa,Запись приостановлена,Enregistrement interrompu,Itinigil ang pagrerekord,หยุดการอัดเสียง,Stop rekaman,रेकर्डङ रोकियो,রেকর্ডিং থেমে গিয়েছে ,錄音已停止,錄音已停止,ការថតត្រូវបានឈប់
